text,label
Assunto: Reunião de planejamento do projeto\n\nOlá equipe,\n\nGostaria de agendar uma reunião para discutirmos o planejamento do novo projeto. Precisamos definir as metas, prazos e responsáveis. Por favor, confirmem disponibilidade para amanhã às 10h.\n\nAtenciosamente,\nGestor de Projetos,productive
Assunto: Oferta imperdível!\n\nVocê foi selecionado para receber um desconto exclusivo de 70% em nossos produtos. Clique no link abaixo para aproveitar essa oportunidade única!\n\nhttp://oferta-imperdivel.com\n\nNão perca!,improductive
Assunto: Relatório mensal de vendas\n\nPrezados,\n\nSegue em anexo o relatório mensal de vendas referente ao mês de julho. Caso tenham dúvidas, estou à disposição para esclarecimentos.\n\nAtenciosamente,\nEquipe Financeira,productive
Assunto: Parabéns! Você ganhou um prêmio\n\nParabéns! Você foi sorteado para receber um prêmio de R$ 10.000. Para resgatar, basta clicar no link abaixo e preencher seus dados.\n\nhttp://premio-facil.com\n\nAproveite!,improductive
Assunto: Solicitação de aprovação de orçamento\n\nOlá,\n\nEncaminho para aprovação o orçamento do projeto X. O documento detalha os custos previstos e as justificativas para cada item. Aguardo retorno para prosseguir.\n\nObrigado,productive
Assunto: Ganhe dinheiro fácil\n\nDescubra como ganhar dinheiro sem sair de casa! Trabalhe apenas 2 horas por dia e tenha ganhos ilimitados. Clique aqui para saber mais.\n\nhttp://dinheiro-facil.com,improductive
Assunto: Atualização do cronograma\n\nEquipe,\n\nO cronograma do projeto foi atualizado conforme as últimas reuniões. Por favor, revisem as datas e sinalizem possíveis conflitos.\n\nAbs,productive
Assunto: Desbloqueie seu prêmio agora\n\nSeu prêmio está aguardando! Clique no link abaixo para desbloquear e receber imediatamente.\n\nhttp://premio-online.com,improductive
Assunto: Envio de relatório financeiro\n\nPrezados,\n\nSegue o relatório financeiro do trimestre. Qualquer dúvida, estou à disposição.\n\nAtenciosamente,\nFinanceiro,productive
Assunto: Oferta exclusiva para você\n\nAproveite esta oferta exclusiva! Produtos com até 80% de desconto. Só hoje!\n\nhttp://oferta-exclusiva.com,improductive
Assunto: Agendamento de reunião com cliente\n\nOlá,\n\nAgendei uma reunião com o cliente para alinharmos expectativas e próximos passos do projeto. Confirme presença, por favor.\n\nObrigado,productive
Assunto: Seu CPF foi sorteado\n\nSeu CPF foi sorteado em nossa promoção! Clique para resgatar seu prêmio.\n\nhttp://cpf-premiado.com,improductive
Assunto: Entrega de documento solicitado\n\nConforme solicitado, segue em anexo o documento para análise. Fico à disposição para dúvidas.\n\nAtenciosamente,productive
Assunto: Você foi selecionado!\n\nParabéns! Você foi selecionado para participar de uma pesquisa exclusiva. Responda e ganhe prêmios.\n\nhttp://pesquisa-premiada.com,improductive
Assunto: Confirmação de participação no evento\n\nConfirmo minha participação no evento de inovação corporativa. Obrigado pelo convite.\n\nAtenciosamente,productive
Assunto: Ganhe bônus agora\n\nAcesse agora e ganhe bônus exclusivos em sua conta. Não perca!\n\nhttp://bonus-exclusivo.com,improductive
Assunto: Revisão de contrato\n\nEncaminho para revisão o contrato atualizado. Por favor, verifique as cláusulas e retorne com observações.\n\nAbs,productive
Assunto: Seu cartão foi bloqueado\n\nSeu cartão foi bloqueado por motivos de segurança. Clique aqui para desbloquear.\n\nhttp://cartao-bloqueado.com,improductive
Assunto: Proposta comercial\n\nSegue proposta comercial para análise. Estou à disposição para esclarecimentos.\n\nAtenciosamente,productive
Assunto: Desconto especial só hoje\n\nDesconto especial de 60% válido apenas hoje! Aproveite agora mesmo.\n\nhttp://desconto-hoje.com,improductive
Assunto: Feedback da reunião\n\nOlá,\n\nSegue o feedback da reunião realizada ontem. Destaco os pontos positivos e as oportunidades de melhoria para os próximos encontros.\n\nAbs,productive
Assunto: Atualização de sistema\n\nInformamos que o sistema será atualizado no próximo sábado, das 22h às 2h. Durante esse período, o acesso ficará indisponível.\n\nAtenciosamente,productive
Assunto: Solicitação de férias\n\nVenho por meio deste solicitar férias no período de 10/09 a 25/09. Aguardo confirmação.\n\nObrigado,productive
Assunto: Convite para treinamento\n\nVocê está convidado para o treinamento de boas práticas corporativas. Confirme presença até sexta-feira.\n\nAtenciosamente,productive
Assunto: Atualização cadastral\n\nAtualize seus dados cadastrais e evite bloqueio de conta. Clique aqui para atualizar.\n\nhttp://atualizacao-cadastral.com,improductive
Assunto: Mensagem importante\n\nEsta é uma mensagem importante sobre sua conta. Entre em contato para mais informações.\n\nAtenciosamente,productive
Assunto: Última chance para ganhar\n\nÚltima chance para ganhar prêmios incríveis! Clique e participe.\n\nhttp://ganhe-premios.com,improductive
Assunto: Solicitação de suporte\n\nPreciso de suporte para acessar o sistema. Poderiam me ajudar?\n\nObrigado,productive
Assunto: Atualização de senha\n\nSua senha expirou. Clique aqui para atualizar.\n\nhttp://atualizar-senha.com,improductive
Assunto: Confirmação de recebimento\n\nConfirmo o recebimento do material enviado.\n\nAtenciosamente,productive
Assunto: Oferta de empréstimo\n\nOferta de empréstimo pré-aprovado para você! Solicite já.\n\nhttp://emprestimo-facil.com,improductive
Assunto: Solicitação de feedback\n\nGostaria de receber feedback sobre o relatório enviado ontem.\n\nObrigado,productive
Assunto: Atualização de endereço\n\nPor favor, atualize seu endereço para continuar recebendo correspondências.\n\nAtenciosamente,productive
Assunto: Parabéns! Você foi premiado\n\nParabéns! Você foi premiado em nossa promoção. Clique para resgatar.\n\nhttp://premiado.com,improductive
Assunto: Solicitação de acesso\n\nSolicito acesso ao sistema para novo colaborador.\n\nObrigado,productive
Assunto: Ganhe prêmios respondendo pesquisa\n\nResponda nossa pesquisa e ganhe prêmios exclusivos.\n\nhttp://pesquisa-premio.com,improductive
Assunto: Confirmação de agendamento\n\nConfirmo o agendamento da reunião para sexta-feira às 15h.\n\nAtenciosamente,productive
Assunto: Atualização de política interna\n\nInformamos que a política interna foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Solicitação de reembolso\n\nEncaminho comprovantes para solicitação de reembolso das despesas do projeto.\n\nObrigado,productive
Assunto: Oferta de cartão de crédito\n\nSolicite seu cartão de crédito sem anuidade.\n\nhttp://cartao-sem-anuidade.com,improductive
Assunto: Confirmação de entrega\n\nConfirmo a entrega do material solicitado.\n\nAtenciosamente,productive
Assunto: Atualização de dados bancários\n\nPor favor, atualize seus dados bancários para evitar bloqueio de pagamentos.\n\nAtenciosamente,productive
Assunto: Oferta de seguro\n\nContrate seguro de vida com desconto especial.\n\nhttp://seguro-desconto.com,improductive
Assunto: Solicitação de alteração de horário\n\nSolicito alteração de horário de trabalho para o próximo mês.\n\nObrigado,productive
Assunto: Atualização de benefícios\n\nInformamos que os benefícios foram atualizados. Consulte o RH para mais informações.\n\nAtenciosamente,productive
Assunto: Ganhe cashback em compras\n\nGanhe cashback em todas as suas compras. Saiba mais!\n\nhttp://cashback.com,improductive
Assunto: Solicitação de material\n\nSolicito envio de material de escritório para o setor financeiro.\n\nObrigado,productive
Assunto: Atualização de telefone\n\nPor favor, atualize seu telefone de contato.\n\nAtenciosamente,productive
Assunto: Oferta de consórcio\n\nParticipe do consórcio e conquiste seu carro novo.\n\nhttp://consorcio.com,improductive
Assunto: Solicitação de treinamento\n\nGostaria de participar do treinamento de liderança.\n\nObrigado,productive
Assunto: Atualização de férias\n\nInformamos que o período de férias foi atualizado. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Ganhe pontos em compras\n\nAcumule pontos em todas as suas compras e troque por prêmios.\n\nhttp://pontos.com,improductive
Assunto: Solicitação de documento\n\nSolicito envio do documento para assinatura.\n\nObrigado,productive
Assunto: Atualização de endereço de email\n\nPor favor, atualize seu endereço de email para continuar recebendo comunicados.\n\nAtenciosamente,productive
Assunto: Oferta de plano de saúde\n\nContrate plano de saúde com condições especiais.\n\nhttp://planosaude.com,improductive
Assunto: Solicitação de reunião urgente\n\nSolicito reunião urgente para tratar de questões do projeto.\n\nObrigado,productive
Assunto: Atualização de cadastro de fornecedor\n\nPor favor, atualize o cadastro do fornecedor conforme solicitado.\n\nAtenciosamente,productive
Assunto: Oferta de curso online\n\nMatricule-se em nosso curso online e ganhe certificado.\n\nhttp://cursoonline.com,improductive
Assunto: Solicitação de aprovação de pagamento\n\nEncaminho para aprovação o pagamento da fatura referente ao mês de agosto.\n\nObrigado,productive
Assunto: Atualização de política de segurança\n\nA política de segurança da empresa foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Ganhe desconto em viagens\n\nGanhe desconto em passagens aéreas e hotéis.\n\nhttp://descontoviagem.com,improductive
Assunto: Solicitação de acesso ao sistema\n\nSolicito acesso ao sistema para novo colaborador.\n\nObrigado,productive
Assunto: Atualização de dados cadastrais\n\nPor favor, atualize seus dados cadastrais para evitar bloqueio de conta.\n\nAtenciosamente,productive
Assunto: Oferta de empréstimo pessoal\n\nSolicite empréstimo pessoal com taxas reduzidas.\n\nhttp://emprestimopessoal.com,improductive
Assunto: Solicitação de feedback sobre apresentação\n\nGostaria de receber feedback sobre a apresentação realizada ontem.\n\nObrigado,productive
Assunto: Atualização de política de home office\n\nA política de home office foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Ganhe bônus de indicação\n\nIndique amigos e ganhe bônus em sua conta.\n\nhttp://bonusindicacao.com,improductive
Assunto: Solicitação de alteração de dados cadastrais\n\nSolicito alteração de dados cadastrais conforme documento anexo.\n\nObrigado,productive
Assunto: Atualização de política de benefícios\n\nA política de benefícios foi atualizada. Consulte o RH para mais informações.\n\nAtenciosamente,productive
Assunto: Oferta de seguro automotivo\n\nContrate seguro automotivo com desconto especial.\n\nhttp://seguroauto.com,improductive
Assunto: Solicitação de aprovação de viagem\n\nEncaminho para aprovação a viagem de negócios prevista para o próximo mês.\n\nObrigado,productive
Assunto: Atualização de política de viagens\n\nA política de viagens foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Ganhe prêmios em sorteios\n\nParticipe de nossos sorteios e ganhe prêmios incríveis.\n\nhttp://sorteios.com,improductive
Assunto: Solicitação de alteração de senha\n\nSolicito alteração de senha de acesso ao sistema.\n\nObrigado,productive
Assunto: Atualização de política de reembolso\n\nA política de reembolso foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Oferta de consórcio imobiliário\n\nParticipe do consórcio imobiliário e conquiste seu imóvel.\n\nhttp://consorcioimovel.com,improductive
Assunto: Solicitação de aprovação de contrato\n\nEncaminho para aprovação o contrato do novo fornecedor.\n\nObrigado,productive
Assunto: Atualização de política de TI\n\nA política de TI foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Ganhe desconto em compras online\n\nGanhe desconto em todas as suas compras online.\n\nhttp://descontoonline.com,improductive
Assunto: Solicitação de alteração de turno\n\nSolicito alteração de turno de trabalho para o próximo mês.\n\nObrigado,productive
Assunto: Atualização de política de RH\n\nA política de RH foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Oferta de plano odontológico\n\nContrate plano odontológico com condições especiais.\n\nhttp://planoodonto.com,improductive
Assunto: Solicitação de aprovação de orçamento anual\n\nEncaminho para aprovação o orçamento anual da área de TI.\n\nObrigado,productive
Assunto: Atualização de política de benefícios flexíveis\n\nA política de benefícios flexíveis foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Ganhe pontos em compras online\n\nAcumule pontos em todas as suas compras online e troque por prêmios.\n\nhttp://pontosonline.com,improductive
Assunto: Solicitação de alteração de endereço\n\nSolicito alteração de endereço residencial conforme comprovante anexo.\n\nObrigado,productive
Assunto: Atualização de política de viagens corporativas\n\nA política de viagens corporativas foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Oferta de seguro residencial\n\nContrate seguro residencial com desconto especial.\n\nhttp://seguroresidencial.com,improductive
Assunto: Solicitação de aprovação de compra\n\nEncaminho para aprovação a compra de equipamentos de TI.\n\nObrigado,productive
Assunto: Atualização de política de despesas\n\nA política de despesas foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Ganhe desconto em cursos online\n\nGanhe desconto em cursos online exclusivos.\n\nhttp://descontocurso.com,improductive
Assunto: Solicitação de alteração de dados bancários\n\nSolicito alteração de dados bancários conforme documento anexo.\n\nObrigado,productive
Assunto: Atualização de política de viagens internacionais\n\nA política de viagens internacionais foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Oferta de consórcio de veículos\n\nParticipe do consórcio de veículos e conquiste seu carro novo.\n\nhttp://consorcioveiculo.com,improductive
Assunto: Solicitação de aprovação de pagamento de fornecedor\n\nEncaminho para aprovação o pagamento do fornecedor X referente ao mês de setembro.\n\nObrigado,productive
Assunto: Atualização de política de benefícios corporativos\n\nA política de benefícios corporativos foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Ganhe bônus em compras\n\nGanhe bônus em todas as suas compras. Saiba mais!\n\nhttp://bonuscompras.com,improductive
Assunto: Solicitação de alteração de política interna\n\nSolicito alteração de política interna conforme documento anexo.\n\nObrigado,productive
Assunto: Atualização de política de viagens nacionais\n\nA política de viagens nacionais foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Oferta de seguro saúde\n\nContrate seguro saúde com condições especiais.\n\nhttp://seguro-saude.com,improductive
Assunto: Solicitação de aprovação de orçamento de marketing\n\nEncaminho para aprovação o orçamento de marketing para o próximo trimestre.\n\nObrigado,productive
Assunto: Atualização de política de benefícios para colaboradores\n\nA política de benefícios para colaboradores foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Ganhe desconto em compras físicas\n\nGanhe desconto em todas as suas compras físicas.\n\nhttp://descontofisico.com,improductive
Assunto: Solicitação de alteração de política de viagens\n\nSolicito alteração de política de viagens conforme documento anexo.\n\nObrigado,productive
Assunto: Atualização de política de benefícios para dependentes\n\nA política de benefícios para dependentes foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Oferta de consórcio de imóveis\n\nParticipe do consórcio de imóveis e conquiste seu imóvel novo.\n\nhttp://consorcioimoveis.com,improductive
Assunto: Solicitação de aprovação de orçamento de TI\n\nEncaminho para aprovação o orçamento de TI para o próximo ano.\n\nObrigado,productive
Assunto: Atualização de política de benefícios para estagiários\n\nA política de benefícios para estagiários foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Ganhe pontos em compras físicas\n\nAcumule pontos em todas as suas compras físicas e troque por prêmios.\n\nhttp://pontosfisicos.com,improductive
Assunto: Solicitação de alteração de política de benefícios\n\nSolicito alteração de política de benefícios conforme documento anexo.\n\nObrigado,productive
Assunto: Atualização de política de viagens para diretores\n\nA política de viagens para diretores foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Oferta de seguro viagem\n\nContrate seguro viagem com desconto especial.\n\nhttp://seguroviagem.com,improductive
Assunto: Solicitação de aprovação de orçamento de RH\n\nEncaminho para aprovação o orçamento de RH para o próximo ano.\n\nObrigado,productive
Assunto: Atualização de política de benefícios para gerentes\n\nA política de benefícios para gerentes foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Ganhe desconto em compras internacionais\n\nGanhe desconto em todas as suas compras internacionais.\n\nhttp://descontointernacional.com,improductive
Assunto: Solicitação de alteração de política de benefícios para dependentes\n\nSolicito alteração de política de benefícios para dependentes conforme documento anexo.\n\nObrigado,productive
Assunto: Atualização de política de viagens para colaboradores\n\nA política de viagens para colaboradores foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Oferta de consórcio de motos\n\nParticipe do consórcio de motos e conquiste sua moto nova.\n\nhttp://consorciomoto.com,improductive
Assunto: Solicitação de aprovação de orçamento de projetos\n\nEncaminho para aprovação o orçamento de projetos para o próximo ano.\n\nObrigado,productive
Assunto: Atualização de política de benefícios para trainees\n\nA política de benefícios para trainees foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Ganhe bônus em compras internacionais\n\nGanhe bônus em todas as suas compras internacionais. Saiba mais!\n\nhttp://bonusinternacional.com,improductive
Assunto: Solicitação de alteração de política de viagens para diretores\n\nSolicito alteração de política de viagens para diretores conforme documento anexo.\n\nObrigado,productive
Assunto: Atualização de política de benefícios para consultores\n\nA política de benefícios para consultores foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Oferta de seguro de vida\n\nContrate seguro de vida com condições especiais.\n\nhttp://segurovida.com,improductive
Assunto: Solicitação de aprovação de orçamento de consultoria\n\nEncaminho para aprovação o orçamento de consultoria para o próximo ano.\n\nObrigado,productive
Assunto: Atualização de política de benefícios para analistas\n\nA política de benefícios para analistas foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Ganhe desconto em compras de supermercado\n\nGanhe desconto em todas as suas compras de supermercado.\n\nhttp://descontosupermercado.com,improductive
Assunto: Solicitação de alteração de política de benefícios para estagiários\n\nSolicito alteração de política de benefícios para estagiários conforme documento anexo.\n\nObrigado,productive
Assunto: Atualização de política de viagens para analistas\n\nA política de viagens para analistas foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Oferta de consórcio de caminhões\n\nParticipe do consórcio de caminhões e conquiste seu caminhão novo.\n\nhttp://consorciocaminhao.com,improductive
Assunto: Solicitação de aprovação de orçamento de viagens\n\nEncaminho para aprovação o orçamento de viagens para o próximo ano.\n\nObrigado,productive
Assunto: Atualização de política de benefícios para supervisores\n\nA política de benefícios para supervisores foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Ganhe pontos em compras de supermercado\n\nAcumule pontos em todas as suas compras de supermercado e troque por prêmios.\n\nhttp://pontossupermercado.com,improductive
Assunto: Solicitação de alteração de política de viagens para analistas\n\nSolicito alteração de política de viagens para analistas conforme documento anexo.\n\nObrigado,productive
Assunto: Atualização de política de benefícios para coordenadores\n\nA política de benefícios para coordenadores foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Oferta de seguro empresarial\n\nContrate seguro empresarial com condições especiais.\n\nhttp://seguroempresarial.com,improductive
Assunto: Solicitação de aprovação de orçamento de benefícios\n\nEncaminho para aprovação o orçamento de benefícios para o próximo ano.\n\nObrigado,productive
Assunto: Atualização de política de viagens para supervisores\n\nA política de viagens para supervisores foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Ganhe desconto em compras de farmácia\n\nGanhe desconto em todas as suas compras de farmácia.\n\nhttp://descontofarmacia.com,improductive
Assunto: Solicitação de alteração de política de benefícios para coordenadores\n\nSolicito alteração de política de benefícios para coordenadores conforme documento anexo.\n\nObrigado,productive
Assunto: Atualização de política de viagens para coordenadores\n\nA política de viagens para coordenadores foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Oferta de consórcio de imóveis comerciais\n\nParticipe do consórcio de imóveis comerciais e conquiste seu imóvel novo.\n\nhttp://consorcioimovelcomercial.com,improductive
Assunto: Solicitação de aprovação de orçamento de compras\n\nEncaminho para aprovação o orçamento de compras para o próximo ano.\n\nObrigado,productive
Assunto: Atualização de política de benefícios para diretores\n\nA política de benefícios para diretores foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Ganhe bônus em compras de supermercado\n\nGanhe bônus em todas as suas compras de supermercado. Saiba mais!\n\nhttp://bonussupermercado.com,improductive
Assunto: Solicitação de alteração de política de benefícios para diretores\n\nSolicito alteração de política de benefícios para diretores conforme documento anexo.\n\nObrigado,productive
Assunto: Atualização de política de viagens para trainees\n\nA política de viagens para trainees foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Oferta de seguro odontológico\n\nContrate seguro odontológico com condições especiais.\n\nhttp://seguroodonto.com,improductive
Assunto: Solicitação de aprovação de orçamento de TI para projetos\n\nEncaminho para aprovação o orçamento de TI para projetos do próximo ano.\n\nObrigado,productive
Assunto: Atualização de política de benefícios para TI\n\nA política de benefícios para TI foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Ganhe desconto em compras de eletrônicos\n\nGanhe desconto em todas as suas compras de eletrônicos.\n\nhttp://descontoeletronico.com,improductive
Assunto: Solicitação de alteração de política de benefícios para TI\n\nSolicito alteração de política de benefícios para TI conforme documento anexo.\n\nObrigado,productive
Assunto: Atualização de política de viagens para TI\n\nA política de viagens para TI foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Oferta de consórcio de eletrônicos\n\nParticipe do consórcio de eletrônicos e conquiste seus eletrônicos novos.\n\nhttp://consorcioeletronico.com,improductive
Assunto: Solicitação de aprovação de orçamento de RH para projetos\n\nEncaminho para aprovação o orçamento de RH para projetos do próximo ano.\n\nObrigado,productive
Assunto: Atualização de política de benefícios para RH\n\nA política de benefícios para RH foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Ganhe pontos em compras de eletrônicos\n\nAcumule pontos em todas as suas compras de eletrônicos e troque por prêmios.\n\nhttp://pontoseletronico.com,improductive
Assunto: Solicitação de alteração de política de benefícios para RH\n\nSolicito alteração de política de benefícios para RH conforme documento anexo.\n\nObrigado,productive
Assunto: Atualização de política de viagens para RH\n\nA política de viagens para RH foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Oferta de seguro de saúde empresarial\n\nContrate seguro de saúde empresarial com condições especiais.\n\nhttp://seguroempresarialsaude.com,improductive
Assunto: Solicitação de aprovação de orçamento de benefícios para projetos\n\nEncaminho para aprovação o orçamento de benefícios para projetos do próximo ano.\n\nObrigado,productive
Assunto: Atualização de política de benefícios para projetos\n\nA política de benefícios para projetos foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Ganhe desconto em compras de móveis\n\nGanhe desconto em todas as suas compras de móveis.\n\nhttp://descontomoveis.com,improductive
Assunto: Solicitação de alteração de política de benefícios para projetos\n\nSolicito alteração de política de benefícios para projetos conforme documento anexo.\n\nObrigado,productive
Assunto: Atualização de política de viagens para projetos\n\nA política de viagens para projetos foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Oferta de consórcio de móveis\n\nParticipe do consórcio de móveis e conquiste seus móveis novos.\n\nhttp://consorciomoveis.com,improductive
Assunto: Solicitação de aprovação de orçamento de compras para projetos\n\nEncaminho para aprovação o orçamento de compras para projetos do próximo ano.\n\nObrigado,productive
Assunto: Atualização de política de benefícios para compras\n\nA política de benefícios para compras foi atualizada. Consulte o RH para detalhes.\n\nAtenciosamente,productive
Assunto: Ganhe bônus em compras de móveis\n\nGanhe bônus em todas as suas compras de móveis. Saiba mais!\n\nhttp://bonusmoveis.com,improductive
Assunto: Solicitação de alteração de política de benefícios para compras\n\nSolicito alteração de política de benefícios para compras conforme documento anexo.\n\nObrigado,productive
Assunto: Atualização de política de viagens para compras\n\nA política de viagens para compras foi atualizada. Consulte o documento anexo.\n\nAtenciosamente,productive
Assunto: Oferta de seguro de móveis\n\nContrate seguro de móveis com condições especiais.\n\nhttp://seguromoveis.com,improductive
